Processed_Text,Type
gradle update support android 6 video playback select nsfw toogle not implement,Android Version
upgrade target sdk version 27 android default zrtp now use zrtp hash sdp attribute,Device
try 2 provide custom tlssocketfactory support tlsv tlsv protocol use api { 16 sdk_version 22 },Android Version
unify jsonparser one common class free pro version main now replace old android support v4 app actionbardrawertoggle android support v7 app actionbardrawertoggle new implementation google material design change behaviour toolbar home button replace torrent detail fragment phone version,Android Version
switched android sdk still backwards compatible header text now button can put onclicklistener playlistactivity java click header text current playing song will select,Other
android support library api level 24,Android Version
gingerbread disable crashy autocompletetextview edit summary,Android Version
version enable api level 21 lollipop fix several regard improve tls security issue enable ssl http auth preferences specify per wifi network issue fix download attached medium file issue,Android Version
1 updated androidmanifest versionname versioncode 10,Android Version
release work issue 48 88 also fix connect issue pre api 11 device,Device
7 fix fix npe deletion function possibly fix rare crash pagedreader fix local synopsis get lose weak wifi signal weak wifi signal search manga update sometimes good long synopsis description get overridden without synopsis variation thereof fix default synopsis use without synopsis variation thereof will never override exist synopsis real change synopsis website will course still override exist local synopsis check manga already add detailsfragment onstart method thread show manga already add status instead press floatingactionbutton also add check manga already add sfnf add context menu fix edge case notification can display 50 notification try display get notification corruption lead erratic app behaviour now cancel update process display 48 notification notify user clear notification now implement manual update fix sometimes make sort order mangafragment not update correctly value correctly save not load correctly chapter sort order now stay permanent not reset add white icon notification make android 5 use white icon design guideline use white notification icon android 5,Android Version
add multidex support old apis update late,Android Version
add support android 4 select text,Android Version
add vector support old device report crash issue,Device
add basic support play whole folder add hdpi scroller handle change icon eclair,Android Version
add support api version 26,Android Version
advance target late version android minus 1 will advance I delete dependency delete floatmath api,Android Version
compat lib update call oncreate throw error,Android Version
android crash fix interpolator api fix,Android Version
android compatible sorry kitkat will not support,Android Version
android nougat compatibility,Android Version
android oreo support,Android Version
android pie support,Android Version
android sdk update first visible row not restore rotate device,Android Version
android sdk update first visible row not restore rotate device,Android Version
android sdk update fix device verification issue use fail device contain,Android Version
android sdk update room activity screen rotation,Android Version
android api 21,Android Version
androidmanifext xml change min sdk version 4 android updated version code 12,Android Version
app add support android usage last run time api 21,Android Version
apply style gingerbread honeycomb,Android Version
fix app crash use vector drawables drawablestart drawableend etc pre lollipop device,Android Version
bump sdk version upgrade support appcompat libs,Android Version
bump version update changelog update support libs,Android Version
change minimum support android version,Android Version
chore update androidx dependency version,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
release update version android manifest,Android Version
test update android version 25,Android Version
travis update android api,Android Version
declare mainfest multi window support nougat change navigation drawer coordinator layout allow header image scroll away lollipop,Android Version
not display icon actionbar save space device phone android version honeycomb,Device
not use provider android 22,Android Version
not authenticate not fetch api version information adjust behaviour accordingly still crash sort api ver 2,Android Version
not crash old android version,Android Version
not use okhttp froyo require least api level 9,Android Version
downgrade android support library version 19,Android Version
emojicon build tool library support library version update,Android Version
fix android view inflateexception pre lollipop device,Android Version
fix compatibility new kanboard version api,Other
fix country selector old android,Android Version
fix crash ice cream sandwich android version,Android Version
fix crash marshmallow disable proguard,Android Version
fix crash option menu pre honeycomb device,Android Version
fix crash low density device correctly update game not sign support pink player color authentication expire session not just password correctly log account not set,Device
fix crash pre lollipop device,Android Version
fix crash navigation android 2 device,Android Version
fix custom notification layout pre honeycomb device workaround notificationcompat builder change default custom layout honeycomb kitkat custom layout match system layout closely setting turn system layout still work update change default sensible,Android Version
fix update not trigger open app global search live folder android beam nfc now check free space try move nfc relate method ics gingerbread,Android Version
fix file order crash phone,Device
fix nook simple touch revert gradle gradle auto uplift project min support platform gingerbread,Android Version
fix jelly bean black screen issue fall back default,Android Version
fix startup crash pre lollipop device not use build supported_abis,Device
fix status bar pre kitkat,Android Version
fix notification sound update android 8 device,Android Version
fix crash press back map android version,Android Version
fix crash zodiac add support device,Device
fix crash kitkat loading drawables downgrade gradle appcompat version,Android Version
fix notification crash jellybean kitkat vector drawables not support notification action button,Android Version
fix npe exit task execution fix wrong condition context menu creation add title context menu update library version,Android Version
fix pom xml correct android api version 15 instead 17 brought thomas fix activity leak window originally add openhabstartupactivity cause incorrect progress dialog close fix malformed url exception normalizeurl openhabstartupactivity,Android Version
fix transaction invert open edit fix home button recur transaction view not work fix setting menu now visible recur transaction view fix crash open setting android version honeycomb update copyright notice prepare string beta2 release,Android Version
fix crash android api 16 jelly bean,Android Version
hotfix theme must reference sherlock android 3 device crash,Android Version
